Conference Acronym	Conference Name	Conference Location
ICBCT 2017	2017 International Conference on Bioinformatics and Computing Technologies (ICBCT 2017)	Hong Kong, China
SWM 2017	1st Workshop on Scholarly Web Mining	Cambridge, UK
IFAC World Congress SIMCA 2017	IFAC WORLD CONGRESS '2017 OPEN INVITED TRACK on SYSTEM IDENTIFICATION for MANUFACTURING CONTROL APPLICATIONS	Toulouse, France
SPTM 2016	Fourth International Conference of Security, Privacy and Trust Management	Chennai, India
DKMP 2017	Fifth International Conference on Data Mining & Knowledge Management Process	Dubai, UAE
CCSEA 2017	Seventh International Conference on Computer Science, Engineering and Applications	Dubai, UAE
Big Data Analytics@IJCNN 2017	Special Session: 'Large Datasets and Big Data Analytics: Theory, Methods, and Applications' at IJCNN 2017	Anchorage, Alaska, USA
ACSTY 2016	Second International Conference on Advances in Computer Science and Information Technology	Chennai, India
DMAP 2016	Second International Conference on Data Mining and Applications	Vienna, Austria
EAST - FLAIRS 2017	lEArning from heterogeneouS data analyTics - FLAIRS	Marco Island, Florida, USA
FLAIRS 2017	FLAIRS-30: Special Track in Data Mining	Marco Island, Florida, USA
Sideways 2017	Social Media World Sensors 2017	Madeira
ICISDM 2017	2017 International Conference on Information System and Data Mining (ICISDM 2017)-SCOPUS, Ei Compendex	South Carolina, USA
ITMLS 2017	Intelligent Technologies and Methodologies of Learning Systems	Barcelona, Spain
ITPF 2016	The 5th international conference on Information Technology, Present and Future	Mashhad, Iran
ICCSP 2017	International Conference on Cryptography, Security and Privacy - Ei Compendex and Scopus	Wuhan, China
ICKSE 2017	3rd International Conference on Knowledge and Software Engineering-Ei Compendex, Scopus & ISI CPCS	Paris, France
WSDM Cup 2017	WSDM Cup 2017: Knowledge Base Quality and Search	Cambridge, MA, USA
KDD 2017	Knowledge Discovery and Data Mining	Halifax, Nova Scotia, Canada
ICOK 2017	2017 2nd International Conference on Knowledge (ICOK 2017)	Chengdu, Sichuan, China
ICBDA 2017	The 2017 IEEE International Conference on Big Data Analysis (ICBDA 2017) - Ei Compendex	Beijing, China
IEA/AIE NAAD 2017	Special Track on Novel Approaches to Anomaly Detection	Arras, France
ICASC 2017	International Conference on Advances in Soft Computing	Kanyakumari, India
IEEE-ICCCBDA 2017	2nd International Conference on Cloud Computing and Big Data Analysis ICCCBDA -IEEE,Ei Compendex	Chengdu, Sichuan, China
DMCIT 2017	2017 International Conference on Data Mining, Communications and Information Technology(DMCIT 2017)--Ei&Scopus	Phuket, Thailand
SoMePeAS 2017	ECIR 2017 Workshop on “Social Media for Personalization And Search”	Aberdeen, Scotland, UK
iDSC 2017	1st International Data Science Conference	Salzburg, Austria
ICCDA 2017	2017 International Conference on Compute and Data Analysis (ICCDA 2017)—SCOPUS & Ei Compendex	Lakeland, Florida, USA
MLDM 2017	Machine Learning and Data Mining in Pattern Recognition	New York, USA
IEEE-ICDDM 2017	IEEE--2017 6th International Workshops on Database and Data Mining (ICDDM 2017)--Ei Compendex	Chengdu, Sichuan, China
CCML 2017	The 16th China Conference on Machine Learning	Tianjin, China
KES-IDT / IABIRP 2017	IS06: Interdisciplinary Approaches in Business Intelligence Research and Practice	Vilamoura, Algarve, Portugal
KES IDT DSS 2017	KES IDT - Decision Support Systems - Special Session	Vilamoura, Algarve, Portugal
ISMIS 2017	23rd International Symposium on Methodologies for Intelligent Systems	Warsaw, Poland
ICCDM 2017	2nd International Conference on Computer and Digital Manufacturing	Singapore
LDK 2017	Language, Data and Knowledge	Galway, Ireland
AIM@EPIA 2017	Artificial Intelligence in Medicine	Porto, Portugal
ECML-PKDD 2017	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery	Skopje, Macedonia
IEEE ITOEC 2017	2017 IEEE 3rd Information Technology and Mechatronics Engineering Conference	Chongqing, China
INIT/AERFAISummerSchoolML 2017	INIT/AERFAI Summer School on Machine Learning	Benicàssim, Spain
DSAA 2017	The 4th IEEE International Conference on Data Science and Advanced Analytics 2017	Tokyo, Japan
ICKE 2017	2017 3rd International Conference on Knowledge Engineering (ICKE 2017)	Tokyo, Japan
ICDPR 2017	2017 International Conference on Data Processing and Robotics (ICDPR 2017)—Ei&Scopus	Kuala Lumpur, Malaysia
IEEE BigComp 2017	[Deadline Extension Oct 21, 2016] 2017 IEEE International Conference on Big Data and Smart Computing	Jeju Island, South Korea
Archiving 2017	IS&T Archiving Conference 2017	Riga, Latvia
ICNCC - ACM 2016	5th International Conference on Network, Communication and Computing - ACM	Kyoto, Japan
DASFAA 2017	The 22nd International Conference on Database Systems for Advanced Applications	Suzhou
ICINS-ACM 2016	2016 4th International Conference on Information and Network Security (ICINS 2016)--Ei Compendex	Kuala Lumpur, Malaysia
PAKDD 2017	The 21st Pacific-Asia Conference on Knowledge Discovery and Data Mining	Jeju Island, South Korea
L@S 2017	L@S 2017: Fourth Annual ACM Conference on Learning at Scale	Massachusetts Institute of Technology
BigGraphs 2016	The 3rd IEEE Big Data Workshop on High Performance Big Graph Data Management, Analysis, and Mining	Washington DC, USA
SIGNAL 2016	Third International Conference on Signal and Image Processing	Dubai, UAE
CDKP 2016	Fifth International Conference on Data Mining & Knowledge Management Process	Dubai, UAE
SDM 2017	SDM'17: the Seventeenth SIAM International Conference on Data Mining	Houston, Texas, USA
ICDE 2017	IEEE INTERNATIONAL CONFERENCE ON DATA ENGINEERING 2017	San Diego, CA, USA
TMNZ 2016	First New Zealand Text Mining Workshop	Hamilton, New Zealand
INCISCOS 2016	International Conference on Information Systems and Computer Science	Quito, Ecuador
ADS 2017	ACIIDS 2017 Special Session on Applications of Data Science	Kanazawa, Japan
MAMLAKE 2017	Special Session on Modern Applications of Machine Learning for Actionable Knowledge Extraction	Kanazawa, Japan
CPSCom 2016	The 9th IEEE International Conference on Cyber, Physical and Social Computing	Chengdu, Sichuan, China
GreenCom 2016	The 12th IEEE International Conference on Green Computing and Communications	Chengdu, Sichuan, China
iThings 2016	The 9th IEEE International Conference on Internet of Things	Chengdu, Sichuan, China
