City Name	Number of Conferences
Singapore	35
New York, USA	33
Barcelona, Spain	27
Porto, Portugal	25
Chengdu, Sichuan, China	23
Hong Kong, China	21
Dubai, UAE	18
Beijing, China	17
Washington DC, USA	17
Athens, Greece	16
London, UK	16
Vienna, Austria	15
Montréal, Canada	14
Paris, France	14
Istanbul, Turkey	13
Kuala Lumpur, Malaysia	12
San Francisco, CA, USA	12
Sydney, Australia	12
Prague, Czech Republic	11
Genoa, Italy	10
Melbourne, VIC, Australia	10
Toulouse, France	10
Vancouver, Canada	10
Wuhan, China	10
Bangkok, Thailand	9
Moscow, Russia	9
Snowbird, Utah, USA	9
Tokyo, Japan	9
Atlantic City, New Jersey, USA	8
Jeju Island, South Korea	8
Seattle, WA, USA	8
Brisbane, Australia	7
Chicago, Illinois, USA	7
Marco Island, Florida, USA	7
Riva del Garda, Italy	7
Santa Clara, California, USA	7
Scottsdale, Arizona, USA	7
Seoul, South Korea	7
The Hague, The Netherlands	7
Gdansk, Poland	6
Glasgow, Scotland, UK	6
Lisbon, Portugal	6
Madrid, Spain	6
Munich, Germany	6
Phuket, Thailand	6
Rome, Italy	6
Seville, Spain	6
Shanghai, China	6
Amsterdam, The Netherlands	5
Bali, Indonesia	5
Berlin, Germany	5
Dallas, Texas, USA	5
Helsinki, Finland	5
Ho Chi Minh City, Vietnam	5
Kaohsiung, Taiwan	5
Kyoto, Japan	5
Las Vegas, Nevada, USA	5
Lille, France	5
Limassol, Cyprus	5
Marrakesh, Morrocco	5
Pittsburgh, Pennsylvania, USA	5
San Diego, CA, USA	5
Valencia, Spain	5
Wroclaw, Poland	5
Xi'an, China	5
Atlanta, Georgia, USA	4
Bangalore, India	4
Bruges, Belgium	4
Chongqing, China	4
Denver, Colorado, USA	4
Lucerne, Switzerland	4
Miami, Florida, USA	4
Naiguatá, VENEZUELA	4
Portoroz, Slovenia	4
Pune, India	4
Raleigh, USA	4
Santiago, Chile	4
Shenzhen, China	4
Taipei, Taiwan	4
Thessaloniki, Greece	4
Vilamoura, Algarve, Portugal	4
Warsaw, Poland	4
Adelaide, Australia	3
Anchorage, Alaska, USA	3
Arras, France	3
Auckland, New Zealand	3
Austin, Texas, USA	3
Boston, MA, USA	3
Budapest, Hungary	3
Buenos Aires, Argentina	3
Burlingame, CA, USA	3
Cambridge, UK	3
Chennai, India	3
Clermont-Ferrand, France	3
Coimbra, Portugal	3
Cádiz, Spain	3
Druskininkai, Lithuania	3
Florence, Italy	3
Guangzhou, China	3
Hamilton, New Zealand	3
Hangzhou, China	3
Hyderabad, India	3
Kitakyushu, Japan	3
Klagenfurt, Austria	3
Los Angeles, California, USA	3
Macau, China	3
New Delhi, India	3
Paphos, Cyprus	3
Poitiers, France	3
Riga, Latvia	3
San Jose, CA	3
Sorrento Coast, Italy	3
Stuttgart, Germany	3
Trento, Italy	3
Ustron near Krakow, Poland	3
Ustron, Poland	3
Venice, Italy	3
Vietri Sul Mare, Salerno, Italy	3
Łódź, Poland	3
Aalborg, Denmark	2
Aberdeen, Scotland, UK	2
Aizu-Wakamatsu, Fukushima, Japan	2
Amantea, Calabria, Italy	2
Amman, Jordan	2
Augsburg, Germany	2
Bari, Italy	2
Benicàssim, Spain	2
Bordeaux, France	2
Brussels, Belgium	2
Cagliari, Italy	2
Cambridge, MA, USA	2
Canberra, Australia	2
Cancún, Mexico	2
Changsha, China	2
Chania, Crete, Greece	2
Chiang Mai, Thailand	2
Colchester, UK	2
Colombo	2
Cracow, Poland	2
Cusco, Peru	2
Edinburgh, Scotland, UK	2
Gdynia, Poland	2
Gifu, Japan	2
Gran Canaria, Spain, Europe	2
Graz, Austria	2
Halifax, Nova Scotia, Canada	2
Hanoi, VietNam	2
Harbin, China	2
Hertfordshire, UK	2
Huddersfield, UK	2
Irbid, Jordan	2
Islamabad	2
Kanazawa, Japan	2
Kanyakumari, India	2
Key Largo, FL, USA	2
Kochi, Kerala	2
Kortrijk, Belgium	2
La Habana, Cuba	2
Lakeland, Florida, USA	2
Langkawi, Malaysia	2
Malacca, Malaysia	2
Malatya, Turkey	2
Manchester, United Kingdom	2
Marseille (France)	2
Maui, Hawaii, USA	2
Maui, USA	2
Mexico City, Mexico	2
Milan, Italy	2
Montpellier, France	2
Naples, Italy	2
Nice, France	2
Nicosia, Cyprus	2
Omaha, Nebraska, USA	2
Opatija, Croatia	2
Osaka, Japan	2
Ostrava, Czech Republic	2
Oxford, UK	2
Padova, Italy	2
Penang, Malaysia	2
Philadelphia, PA, USA	2
Rio de Janeiro, Brazil	2
Riva del Garda, Trento, Italy	2
Riyadh, Saudi Arabia	2
Salt Lake City, Utah, USA	2
Salzburg, Austria	2
San Jose, Costa Rica	2
Sao Paulo, Brazil	2
Sapporo, Hokkaido, Japan	2
Sarawak, Malaysia	2
Stony Brook University, New York, USA	2
Suzhou	2
Tallinn, ESTONIA	2
Timisoara, Romania	2
Ulm University, Germany	2
University of Aizu, Aizu-Wakamatsu, Japan	2
Valencia	2
Valparaiso, Chile	2
Zagreb, Croatia	2
Zurich, Switzerland	2
A Coruña, Spain	1
Abdullah Gül University, Kayseri, Turkey	1
Aberystwyth University, Aberystwyth, UK	1
Agra, India	1
Ahmedabad, India	1
Aksaray, Turkey	1
Alghero/Sassari, Sardinia, Italy	1
Alicante, Spain	1
Allahabad, India	1
Almería, Spain	1
Amritapuri, Kerala, India	1
Anaheim, CA, USA	1
Antwerp, Belgium	1
Arlington, VA	1
Asilomar, California	1
Bahrain	1
