City Name	Year	Number of conferences
A Coruña, Spain	2011	1
Aalborg, Denmark	2013	1
Aalborg, Denmark	2016	1
Abdullah Gül University, Kayseri, Turkey	2017	1
Aberdeen, Scotland, UK	2016	1
Aberdeen, Scotland, UK	2017	1
Aberystwyth University, Aberystwyth, UK	2016	1
Adelaide, Australia	2013	1
Adelaide, Australia	2015	2
Agra, India	2016	1
Ahmedabad, India	2013	1
Aizu-Wakamatsu, Fukushima, Japan	2011	1
Aizu-Wakamatsu, Fukushima, Japan	2015	1
Aksaray, Turkey	2013	1
Alghero/Sassari, Sardinia, Italy	2017	1
Alicante, Spain	2016	1
Allahabad, India	2016	1
Almería, Spain	2012	1
Amantea, Calabria, Italy	2013	1
Amantea, Calabria, Italy	2014	1
Amman, Jordan	2015	1
Amman, Jordan	2016	1
Amritapuri, Kerala, India	2016	1
Amsterdam, The Netherlands	2015	1
Amsterdam, The Netherlands	2016	2
Amsterdam, The Netherlands	2017	2
Anaheim, CA, USA	2016	1
Anchorage, Alaska, USA	2017	3
Antwerp, Belgium	2014	1
Arlington, VA	2016	1
Arras, France	2017	3
Asilomar, California	2013	1
Athens, Greece	2011	7
Athens, Greece	2014	6
Athens, Greece	2016	3
Atlanta, Georgia, USA	2015	1
Atlanta, Georgia, USA	2016	3
Atlantic City, New Jersey, USA	2015	8
Auckland, New Zealand	2014	1
Auckland, New Zealand	2016	2
Augsburg, Germany	2016	2
Austin, Texas, USA	2015	1
Austin, Texas, USA	2016	2
Bahrain	2015	1
Bali, Indonesia	2015	1
Bali, Indonesia	2016	4
Bandar Seri Begawan, Brunei	2016	1
Bangalore, India	2011	1
Bangalore, India	2012	1
Bangalore, India	2015	1
Bangalore, India	2016	1
Bangkok, Thailand	2012	1
Bangkok, Thailand	2015	2
Bangkok, Thailand	2016	2
Bangkok, Thailand	2017	4
Barcelona, Spain	2013	1
Barcelona, Spain	2014	1
Barcelona, Spain	2016	24
Barcelona, Spain	2017	1
Bari, Italy	2016	2
Beijing, China	2011	2
Beijing, China	2012	1
Beijing, China	2013	1
Beijing, China	2016	10
Beijing, China	2017	3
Belgrade, Serbia	2015	1
Beni Suef, Egypt	2015	1
Benicàssim, Spain	2015	1
Benicàssim, Spain	2017	1
Bergen, Norway	2011	1
Berlin, Germany	2011	1
Berlin, Germany	2012	1
Berlin, Germany	2015	2
Berlin, Germany	2016	1
Bilbao	2015	1
Bonn, Germany	2011	1
Bordeaux, France	2014	1
Bordeaux, France	2016	1
Boston, MA, USA	2013	1
Boston, MA, USA	2016	2
Bragança - Portugal	2016	1
Brindisi	2016	1
Brisbane, Australia	2013	4
Brisbane, Australia	2014	2
Brisbane, Australia	2015	1
British Columbia, Canada	2015	1
Bruges, Belgium	2016	2
Bruges, Belgium	2017	2
Brunei	2016	1
Brussels, Belgium	2012	1
Brussels, Belgium	2015	1
Bucaramanga, Colombia	2016	1
Bucharest, Romania	2017	1
Budapest, Hungary	2016	3
Buenos Aires, Argentina	2015	3
Burlingame, CA, USA	2012	1
Burlingame, CA, USA	2013	1
Burlingame, CA, USA	2017	1
Busan, South Korea	2012	1
Będlewo, Poland	2015	1
Cagliari, Italy	2015	1
Cagliari, Italy	2016	1
California, USA	2016	1
Cambridge, MA, USA	2012	1
Cambridge, MA, USA	2017	1
Cambridge, UK	2012	1
Cambridge, UK	2017	2
Canberra, Australia	2016	2
Cancún, Mexico	2016	2
Cape Town, South Africa	2015	1
Cardiff University, UK	2016	1
Changsha, China	2014	1
Changsha, China	2016	1
Chania, Crete, Greece	2012	2
Chengdu, Sichuan, China	2015	3
Chengdu, Sichuan, China	2016	12
Chengdu, Sichuan, China	2017	8
Chennai, India	2016	3
Chiang Mai, Thailand	2016	2
Chicago, Illinois, USA	2014	5
Chicago, Illinois, USA	2016	2
Chihuahua, México	2016	1
Chongqing, China	2016	3
Chongqing, China	2017	1
Clare College, Cambridge, UK	2017	1
Clarkson University, Potsdam, NY, USA	2015	1
Clermont-Ferrand, France	2011	2
Clermont-Ferrand, France	2016	1
Cluj-Napoca, Romania	2015	1
Coimbra, Portugal	2013	2
Coimbra, Portugal	2015	1
Colchester, UK	2016	2
Colombo	2015	1
Colombo	2016	1
Columbia University, New York, USA	2015	1
Constantine- Algerie	2016	1
Copenhagen, Denmark	2016	1
Cotonou, Republic of Benin	2015	1
Covilhã, Portugal	2016	1
Cracow, Poland	2016	1
Cracow, Poland	2017	1
Craiova, Romania	2013	1
Cuenca, Ecuador	2015	1
Curitiba, Brazil	2014	1
Cusco, Peru	2016	2
Cyprus	2015	1
Cádiz, Spain	2014	1
Cádiz, Spain	2016	1
Cádiz, Spain	2018	1
Daegu, South Korea	2017	1
Daejeon, Korea	2016	1
Dalian, China	2016	1
Dallas, Texas, USA	2013	2
Dallas, Texas, USA	2015	1
Dallas, Texas, USA	2016	2
Darmstadt, Germany	2016	1
Dayton, Ohio	2011	1
Delft, The Netherlands	2016	1
Denver, Colorado, USA	2015	1
Denver, Colorado, USA	2016	3
Depok, West Java	2015	1
Detroit, USA	2011	1
Druskininkai, Lithuania	2016	3
Dubai, UAE	2014	1
Dubai, UAE	2016	13
Dubai, UAE	2017	4
Dublin, Ireland	2016	1
Edinburgh, Scotland, UK	2015	1
Edinburgh, Scotland, UK	2016	1
Egypt	2016	1
Evanston, Illinois	2016	1
Florence, Italy	2012	2
Florence, Italy	2015	1
Fort Lauderdale, Florida, USA	2017	1
Fort Wayne, IN	2017	1
Fukuoka, Japan	2015	1
Funchal, Madeira, Portugal	2015	1
Gaithersburg, MD, USA	2012	1
Galway, Ireland	2017	1
Gdansk, Poland	2016	6
Gdynia, Poland	2015	2
Geneva , Switzerland	2016	1
Genoa, Italy	2013	9
Genoa, Italy	2016	1
Gifu, Japan	2012	1
Gifu, Japan	2016	1
Gijón, Spain	2015	1
Glasgow, Scotland, UK	2011	4
Glasgow, Scotland, UK	2015	1
Glasgow, Scotland, UK	2016	1
Gold Coast	2016	1
Gran Canaria, Spain, Europe	2016	2
Graz, Austria	2013	1
Graz, Austria	2016	1
Greenville, South Carolina, USA	2016	1
Guangzhou, China	2015	2
Guangzhou, China	2017	1
Guayaquil, Ecuador	2016	1
Guru Nanak Institutions, Hyderabad, India	2015	1
Haifa, Israel	2014	1
Halifax, Nova Scotia, Canada	2016	1
Halifax, Nova Scotia, Canada	2017	1
Hamilton, New Zealand	2016	3
Hammamet, Tunisia	2016	1
Hangzhou, China	2014	2
Hangzhou, China	2016	1
Hanoi, VietNam	2015	1
Hanoi, VietNam	2016	1
Harbin, China	2012	2
Hasselt, Belgium	2014	1
Hatyai, Thailand	2015	1
Heidelberg	2016	1
Helsinki, Finland	2015	3
Helsinki, Finland	2016	2
Heraklion, Crete, Greece	2011	1
Hertfordshire, UK	2016	2
Ho Chi Minh City, Vietnam	2014	1
Ho Chi Minh City, Vietnam	2015	1
Ho Chi Minh City, Vietnam	2017	3
Hobart, Australia	2016	1
Hollywood, Florida, USA	2015	1
Hong Kong, China	2011	1
Hong Kong, China	2015	5
Hong Kong, China	2016	7
Hong Kong, China	2017	8
Houston, Texas, USA	2017	1
Hsinchu City, Taiwan	2011	1
Huddersfield, UK	2016	2
Hue City, Vietnam	2017	1
Hyderabad, India	2011	1
Hyderabad, India	2014	1
Hyderabad, India	2016	1
Incheon, Korea	2011	1
India	2016	1
Indianapolis, IN	2016	1
Indianapolis, USA	2016	1
Instabul, Turkey	2012	1
Institut Teknologi Brunei, Brunei	2016	1
Irbid, Jordan	2013	1
Irbid, Jordan	2014	1
Islamabad	2013	1
Islamabad	2016	1
Island of Rhodes, GREECE	2015	1
Issyk Kul, Kyrgyzstan	2015	1
Istanbul, Turkey	2012	7
Istanbul, Turkey	2015	2
Istanbul, Turkey	2016	4
Itaipava - Petropolis, Brazil	2015	1
Jaipur, India	2017	1
Jakarta, Indonesia	2017	1
Jeju Island, South Korea	2015	1
Jeju Island, South Korea	2016	3
Jeju Island, South Korea	2017	4
Kanazawa, Japan	2017	2
Kansas City, USA	2016	1
Kanyakumari, India	2017	2
Kaohsiung, Taiwan	2011	1
Kaohsiung, Taiwan	2012	1
Kaohsiung, Taiwan	2014	1
Kaohsiung, Taiwan	2015	2
Katmandu, Nepal	2017	1
Kaunas, Lithuania	2016	1
Kazan, Russia	2013	1
